ID,Title,Author,Year,Format,File
1,Dilan 1990, Pidi Baiq,2014,PDF,ebook/pidi-baiq-dilan-1.pdf
2,Yang fana adalah waktu, Sapardi djoko damono,2018,PDF,ebook/Yang fana adalah waktu.pdf
3,Tentang kamu,Tere liye,2016,PDF,Tere liye - ebook/tentang kamu.pdf
4,Bulan,Tere liye,2015,PDF,ebook/Tere Liye - Bulan.pdf
5,Misteri Rumah Terkutuk,Melyanda Ulan Dari,2023,PDF,ebook/Misteri Rumah Terkutuk.pdf
6,Misteri Penunggu Pohon Tua,Aldo Sinatra,2015,PDF,ebook/Misteri Penunggu Pohon Tua.pdf
7,Matahari,Tere liye,2016,PDF,ebook/Matahari - Tere liye.pdf
8,Linimasa,@kisahhorror,2013,PDF,ebook/Linimasa.pdf
9,Bumi,Tere liye,2014,PDF,ebook/Bumi - Tere liye.pdf
10,Dunia Sophie,Joestein Gaarder,2010,PDF,ebook/Dunia Sophie.pdf
11,Resume_VR,Ikrimah Qoirun Nisa,2025,PDF,ebook/Resume_VR.pdf
